0.041	6.46389
8.467	5.26765
6.334	6.50583
6.5	5.90842
9.169	4.07451
5.724	-6.70644
1.478	8.31746
9.358	-39.1339
6.962	4.61581
4.464	5.11754
5.705	22.9718
8.145	10.1291
3.281	1.95078
6.827	-3.72092
9.961	34.4346
0.491	24.462
2.995	3.30558
1.942	5.72575
4.827	4.00783
5.436	3.24248
2.391	11.091
4.604	7.85635
3.902	5.88257
0.153	6.9762
0.292	2.27931
2.382	3.30632
7.421	5.87104
8.716	1.65016
9.718	-1.12525
9.895	6.56258
5.447	5.461
1.726	16.0065
4.771	-1.02122
1.538	6.55628
1.869	6.67037
9.912	7.9149
5.667	4.85558
6.299	0.632145
7.035	4.29361
9.894	9.01677
8.703	-8.82869
3.811	13.4071
1.322	-2.23392
0.333	8.11489
7.673	8.4624
4.664	-0.0582089
5.141	7.91402
7.711	-6.51069
8.253	-0.862158
6.868	3.09696
5.547	-0.988744
7.644	12.7031
2.662	6.48344
2.757	3.83002
0.037	1.85477
2.859	11.9008
8.723	4.99224
9.741	3.24646
7.529	8.55482
0.778	1.40136
2.316	-34.9943
3.035	-3.81088
2.19	9.08894
1.842	2.56408
0.288	9.07686
0.106	8.60604
9.04	8.38524
8.942	6.46101
9.264	-5.35062
2.648	10.1668
7.446	27.4508
3.805	4.52781
5.89	4.6835
6.729	5.00376
4.37	12.8018
5.35	3.479
5.006	7.9888
1.101	4.22156
4.393	1.45284
3.548	7.96102
9.629	2.94923
2.623	5.62877
4.084	0.971959
9.954	3.25063
8.756	2.97762
1.84	5.12785
4.966	4.17688
7.376	3.04532
3.931	5.43969
6.308	4.18405
6.944	2.85293
2.439	4.7987
4.626	6.54121
1.323	13.0085
5.537	2.62956
1.538	5.53806
6.118	4.9169
2.082	0.031253
2.929	-14.9736
6.541	-99.7069
4.833	7.05847
1.115	31.4542
4.639	131.56
9.658	-12.0285
2.704	-27.4858
9.93	6.25874
3.977	2.08996
2.306	2.12519
1.673	4.57578
2.386	3.40781
5.021	2.60957
8.745	4.76773
